Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
Diesel exhaust,n.a.,0,n.a.,0,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,1,,,,,+,,,,,,,,,+ [198],+,,
Diethyl sulfate,64-67-5,0,64-67-5,2,»,»,+,+,+,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,+,+,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,2A ( V71),not listed,,+,,,,,,,,,+ [199],+,,
3-3'-Difluorobenzidine,448-97-5,0,448-97-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"Diglycidyl resorcinol ether, technical grade",101-90-6,0,101-90-6,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,-,+,,,,,,,,- [134],E,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
Dihydralazine,484-23-1,0,484-23-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1,2-Dihydro-2-(5-nitro-2-thienyl)quinazolin-4(3H)-one",33389-33-2,0,33389-33-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"2-(1,3-Dihydro-3-oxo-2H-indol-2-ylidene)-1,2 dihydro-3H-indol-3-one",482-89-3,0,482-89-3,2,»,»,,,,,+,,,,,,E,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,0,1,,,,,,,,,,I,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
"2,6-Dihydroxyethylaminotoluene -    COLIPA A138",149330-25-6,0,149330-25-6,2,»,»,,,,,,,+,,,,,,+ [35],+,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,2,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
Dihydroxyindoline HBr          COLIPA A147,29539-03-5,0,29539-03-5,2,»,»,,,,,,,+,,,,,,+ [36],+,,,,,,- Hprt,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,2,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
"Dimethoate [AKA phosphorodithioic acid,o,o-dimethyl ester,S-ester with 2-mercapto-N-methylacetamide]",60-51-5,0,60-51-5,2,»,»,,,,+,+,,,,,,,,,+,,,E,,,,,,,,,,E,,E,,,,,,,,,,E,,,,+,E,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,weak +,,,,,,,,,,weak +,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,3,0,,,,,-,-,,,,,,,,,-,,
"Dimethoxane, commercial grade [AKA acetic acid ester with 2,6-dimethyl-m-dioxan-4-ol]",828-00-2,0,828-00-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,E,,,,,,,,,E,,
"2,4-Dimethoxyaniline (free base and HCl salt)",2735-04-8/ 54150-69-5,10,2735-04-8,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(-) Mice;              (+) Rats,,,,,,,+,1,1,,,,,-,-,,,,,,,,,-,,
"3,3'-Dimethoxybenzidine (free base and 2HCl salt) / o-dianisidine",119-90-4/ 20325-40-0,9,119-90-4,2,»,»,-,+,+,+,+,,,,,,,,,+,,+,U,+,,,,,,,, Cas no. 119-90-4 was not tested in MLA; ,I,,,,,,,,,,,,,+,+,+,+,-,,,,,,,,different CAvit result between free base and salt form,E,0,0,,+,,,,,,,,,,,+,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,2,1,,2B,not listed,,+,+,,,,,,,,,+,,
"3,3'-Dimethoxybenzidine-4,4'-diisocyante",91-93-0,0,91-93-0,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
"N,N-Dimethyl-4-aminoazobenzene",60-11-7,0,60-11-7,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,-,,,,,,,,,,-,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,+,,,,,,,+,2,1,,,,,+,+,,,,,,,,,+,,
4-Dimethylaminoazobenzeneazo-1-naphthalene,607-59-0,0,607-59-0,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
4-Dimethylaminoazobenzeneazo-2-naphthalene,613-65-0,0,613-65-0,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
5-(p-Dimethylaminophenylazo)benzothiazole,18463-90-6,0,18463-90-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
6-(p-Dimethylaminophenylazo)benzthiazole,18463-85-9,0,18463-85-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,2,0,,,,,+,,,,,,,,,+ [200],+,,
5-p-Dimethylaminophenylazoindazole,17309-86-3,0,17309-86-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
4-Dimethylaminostilbene,838-95-9,0,838-95-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"6,11-Dimethylbenzo(b)naphthol(2,3-d)thiophene",32362-68-8,0,32362-68-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
4-Dimethylaminobenzenediazosulfonic acid sodium salt (AKA fenaminosulf),140-56-7,0,140-56-7,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,-,,,,,,,,,-,,
2-(Dimethylamino)ethyl acrylate,2439-35-2,0,2439-35-2,2,»,»,-,E,E,,,,,,,,-,,+ [37]; - [38-40],E,,,,,,,,,,-,,,-,,,,,,,,,,,,,+,+,+,,,,,,,,+,,,+,1,1,,-,,,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,
"trans-2-[(Dimethylamino)methylimino]-5-
[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",55738-54-0,0,55738-54-0,2,»,»,,,,+,,,,,,,,+,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,(+) Rats M,,+,,
"7,12-Dimethylbenz[a]anthracene",57-97-6,0,57-97-6,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,+,,,,,,,,,+,,,+,,,,,,,,+ [156],+,,E,,,,,,,,,,E,+,,,,,,+,,,,,,,,,3,0,,,,,+,,,,,,,,,,+,,
"3,3'-Dimethylbenzidine (free base and 2HCl salt)",119-93-7/  612-82-8,9,119-93-7,2,»,»,-,+,+,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,+,-,+,+,+,,,,,,,,,+,1,0,,-,E,,,,,,,,,E [116],E,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,+,,,,,,,+,2,1,,2B,not listed,,+,+,,,,,,,,,+,,
Dimethylcarbamoyl chloride,79-44-7,0,79-44-7,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,E,,,,,,,,,-/+ [116]; +[136],E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"5,9-Dimethyldibenzo[c,g]carbazole",88193-04-8,0,88193-04-8,2,»,»,,,,+,,,,,,,,,+ with mouse S9,+,,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,-,,,,,,,,,,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,weak +,,,,,,,weak +,3,0,,,,,+,,,,,,,,,+ [201],+,,
"1,1-Dimethylhydrazine",57-14-7,0,57-14-7,2,»,»,+,+,+,+,,,,,,,,,,+,,+,+,,,,,,,,,+ [112],+,+,,,,,,,,,,,+,+,+,+,+,,,,,,,,,"+ in CHL cells according to JETOC 1997, [1] ",+,3,0,,+,+,-,,,,,,,,+ [116],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,2B,(+) Mice,,+,,,,,,,,,,+,,
"1,2-Dimethylhydrazine 2HCl",306-37-6,0,306-37-6,2,»,»,,,,+,-,,,,,,,,"+[41, 42]; -[43, 44]",+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,+ [116],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,+,,,,,,,,,,+,,
"2-(2,2-Dimethylhydrazino)-4-(5-nitro-2-furyl)thiazole",26049-69-4,0,26049-69-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Dimethyl hydrogen phosphite,868-85-9,0,868-85-9,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,+,,,,,,,,,+,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,+,,,,,,,,,+,,
Dimethylnitramine,4164-28-7,0,4164-28-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"1,2-Dimethyl-5-nitroimidazole",551-92-8,0,551-92-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"O,O-Dimethyl phosphorochloridothioate",2524-03-0,0,2524-03-0,2,»,»,-,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,"CSCL: others (+) in balb 3T3 cells CTA; CHO cells CA, MLA"
Dimethylsulfate,77-78-1,0,77-78-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,+ [202],+,,
Dimethylvinyl chloride,513-37-1,0,513-37-1,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
"3,3'-Dinitrobenzidine",6271-79-0,0,6271-79-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"3,6-Dinitrobenzopyrene",128714-76-1,0,128714-76-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,0,,,,,,,,,,,,,,,,,
"1,6-Dinitropyrene",42397-64-8,0,42397-64-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,2,0,,,,,+,,,,,,,,,+ [203-208],+,,
"1,8-Dinitropyrene",42397-65-9,0,42397-65-9,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,+,,,,,,,,,,+,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,"+ [205, 206]",+,,
Dinitrosohomopiperazine,55557-00-1,0,55557-00-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Dinitrosopiperazine,140-79-4,0,140-79-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"2,4-Dinitrotoluene",121-14-2,0,121-14-2,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,-,,,,,,,,,,-,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,1,,,,,+,+,,,,,,,,,+,,
"2,6-Dinitrotoluene",606-20-2,0,606-20-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
"Dinitrotoluene, technical grade",25321-14-6,0,25321-14-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Dinocap,39300-45-3,0,39300-45-3,2,»,»,,,,,,+,,,,,,,,+,,,,,- Hprt,,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,-,,,,,,,,-,0,2,,,,,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,-,,,,,,,,-,,
"Dioxathion [AKA phosphorodithioic acid, S,S'-p-dioxane-2,3-diyl-O,O,O',O'-tetraethyl ester]",78-34-2,0,78-34-2,2,»,»,,,,+,+,,,,,,,,,+,,,U,-,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,-,,,,,,,,,-,,
Diphenyl diselenide,1666-13-3,0,1666-13-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,0,,,,,,,,,,,,,,,,,
Diphenyl-p-phenylenediamine,74-31-7,0,74-31-7,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,,,,,,,,,E,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,,,,,,,,,,-,,
Disperse black 9                 COLIPA C106,20721-50-0/ 12222-69-4,11,20721-50-0,2,»,»,,,,,,,+,+,,,,,+ [45],+,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,,+,+,,,,,,+,1,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
Disperse red 17/ Cl 11210    COLIPA B5,3179-89-3,0,3179-89-3,2,»,»,,,,,,,+,+,,,,,+ [46],+,,,,,,- Hprt,Tk (+l.a.); - Hprt,,,,,- [46],+,,,,,-,-,,,,,,-,,,,,,,+,+ l.a.,,,,,,+,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
Disperse violet 1/ Cl 61100   COLIPA C64,128-95-0,0,128-95-0,2,»,»,,,,,,,+,+,,,,,+ [47],+,,,,,,-,-,,,,,,-,,,,,+,+,,,,,,+,,,,,,,+,+ l.a.,,,,,,+,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
Ekatin,640-15-3,0,640-15-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,weak +,,,,,,,,,,weak +,,weak +,,,,,,,,,,weak +,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
Emodin,518-82-1,0,518-82-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,E,-,,,,,,,,"-[144, 145]; +[146] ",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,1,,,,,,E,,,,,,,,,E,,
Epichlorhydrin,106-89-8,0,106-89-8,2,»,»,+,-,+,+,+,,,,,,+,,,+,,+,+,,,,,,,E,,,+,,,,,,,,,,,,,+,+,+,+,+,,,,,,,,,+,2,0,,-,-,-,,,,,,,,-[116],-,,,,,,,,,+,,- [157],E,,(-) liver;     (+) stomach,,,,,,,,,,+,,,,,,,,,,,,,,,,1,1,,2A,(+) Rats,,+,,,,,,,+,,,+,,
"1,2-Epoxybutane",106-88-7,0,106-88-7,2,»,»,,,,+,+,,,,,,+,,,+,,,+,+,,,,,,I,,,+,,,,,,,,,,,,,,,,+,+,,,,,,+,,,+,2,0,,,,-,,,,,,I,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,+,,,+,,ECHA: (-) DLM assay
"2,3-Epoxypropyl methacrylate",106-91-2,0,106-91-2,2,»,»,+,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,I,,,,,,,,,1,0,,not listed,not listed,,,,,,,,,,,,,,
"2,3-epoxypropyl neodecanoate",26761-45-5,0,26761-45-5,2,»,»,,,,,+,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,E,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,,,+,,,,+,,,,,,I,,I,1,1,,,,,,,,,,,,,,,,,ECHA: (-) CTA Assay
Ethephon,16672-87-0,0,16672-87-0,2,»,»,,,,,,+,,,,,,,,+,,,,,- Hprt,,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,-,,,,,,,,-,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,,,-,,,,,,,,-,,
Ethoxydiglycol   ,111-90-0,0,111-90-0,2,»,»,,,,,,,+,,,,,,+ [48],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
"p,p-Ethyl-DDD [AKA perthane]",72-56-0,0,72-56-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,E,,,,,,,,,E,,
Ethylene chlorohydrin/ 2-chloroethanol,107-07-3,0,107-07-3,2,»,»,+,-,+,,+,,,,,,,,,+,,- Tk; - Hprt,E,+,,,,,,,,E [110],E,,,,,,,,,,,,,-,+,+,,+,,,,,,,,,+,1,0,,-,,-,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,not listed,not listed,,,-,,,,,,,,,-,,
Ethylene imine (AKA Aziridine),151-56-4,0,151-56-4,2,»,»,,,,+,,,,,,,+,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,+,,,+,,,,,,,,,+,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,+,,,+,,ECHA DB: (-) DLM Assay
Ethylene oxide,75-21-8,0,75-21-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,,,,,,,,,,+,2,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,E,,,,,,,,,,E,+,,,,,,+,,,,,,,,,3,0,,,,,+,+,,,,,,,,,+,,
"N,N'-Ethylenethiourea",96-45-7,0,96-45-7,2,»,»,+,+,+,E,E,,,,,,E,,,E,,,U,+,,,,,,-,,,E,,,,,,,,,-,,,-,-,-,-,-,-,,,,,,I,,,-,0,2,,-,-,,,,,,,I,,,-,,-,,,,,,,E,,,-,,-,,,,,,,-,,,-,,,,,,,,+,,,,,+,,+,1,3,,3 (V79),(+) Rats & Mice,,+,,,,,,,+,,,+,,ECHA: in vitro: (-) SCE; (E) CTA; (+) Comet; (E) UDS. in vivo (-) SCE; (-) DLM assay
